--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| building                                                  | predicate                                                            | object                                                      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL237> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL237> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_280>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL237> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_280>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL237> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AL237"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL237> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL237> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE41>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE41_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE41>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE41>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_883>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE41>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_883>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE41>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AE41"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE41>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE41>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO101> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO101_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO101> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO101> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_653>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO101> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_653>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO101> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AO101"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO101> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO101> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS59>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS59_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS59>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS59>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1128>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS59>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1128>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS59>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AS59"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS59>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS59>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL168> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL168_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL168> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL168> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1466>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL168> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1466>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL168> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AL168"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL168> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL168> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB238> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB238_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB238> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB238> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1367>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB238> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1367>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB238> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AB238"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB238> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB238> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE40>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE40_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE40>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE40>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_618>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE40>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_618>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE40>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AE40"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE40>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE40>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL236> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL236_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL236> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL236> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_647>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL236> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_647>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL236> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AL236"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL236> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL236> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO162> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO162_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO162> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO162> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_568>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO162> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_568>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO162> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AO162"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO162> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO162> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO104> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO104_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO104> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO104> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_624>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO104> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_624>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO104> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AO104"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO104> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO104> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL167> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL167_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL167> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL167> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1589>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL167> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1589>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL167> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AL167"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL167> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL167> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP228> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP228_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP228> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP228> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_188>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP228> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_188>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP228> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AP228"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP228> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP228> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO161> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO161_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO161> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO161> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_438>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO161> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_438>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO161> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AO161"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO161> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO161> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB72>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB72_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB72>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB72>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_307>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB72>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_307>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB72>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AB72"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB72>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB72>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO103> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO103_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO103> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO103> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1382>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO103> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1382>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO103> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AO103"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO103> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO103> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB155> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB155_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB155> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB155> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_707>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB155> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_707>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB155> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AB155"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB155> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AB155> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE189> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE189_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE189> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE189> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1267>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE189> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1267>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE189> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AE189"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE189> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE189> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT157> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT157_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT157> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT157> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_464>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT157> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_464>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT157> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AT157"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT157> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AT157> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO164> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO164_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO164> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO164> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_589>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO164> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_589>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO164> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AO164"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO164> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO164> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE39>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE39_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE39>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
